species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Mm Hs	CLEC7A	Monocytes	dectin-1|hDectin-1|CD369|SCARE2|CLECSF12	0.027	C-type lectin domain containing 7A	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	CSF3R	Monocytes	GCSFR|CD114	0.008	colony stimulating factor 3 receptor	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	MNDA	Monocytes	PYHIN3	0.017	myeloid cell nuclear differentiation antigen	protein-coding gene	1	Mesoderm	Immune system
Hs	MS4A6A	Monocytes	CD20L3|MS4A6	0.008	membrane spanning 4-domains A6A	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	ZFP36L2	Monocytes	ERF2|RNF162C|TIS11D|BRF2	0.092	ZFP36 ring finger protein like 2	protein-coding gene	NA	Mesoderm	Immune system
Mm Hs	LTA4H	Monocytes	NA	0.048	leukotriene A4 hydrolase	protein-coding gene	NA	Mesoderm	Immune system
Mm Hs	CLEC12A	Monocytes	CLL-1|MICL|CD371|DCAL-2	0.01	C-type lectin domain family 12 member A	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	CD48	Monocytes	BLAST|mCD48|hCD48|SLAMF2|BCM1	0.06	CD48 molecule	protein-coding gene	1	Mesoderm	Immune system
Mm Hs	MYF5	Mononuclear myocytes	bHLHc2	0.001	myogenic factor 5	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYF6	Mononuclear myocytes	MRF4|bHLHc4	0.0	myogenic factor 6	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYOD1	Mononuclear myocytes	MYOD|bHLHc1|MYF3	0.002	myogenic differentiation 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYOG	Mononuclear myocytes	bHLHc3|MYF4	0.001	myogenin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MSTN	Mononuclear myocytes	GDF8	0.003	myostatin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	SIX1	Mononuclear myocytes	DFNA23	0.014	SIX homeobox 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	SIX4	Mononuclear myocytes	AREC3	0.0	SIX homeobox 4	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	PAX3	Mononuclear myocytes	HUP2|WS1	0.002	paired box 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	PAX7	Mononuclear myocytes	Hup1	0.0	paired box 7	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ACTA1	Mononuclear myocytes	NEM3|ACTA	0.003	actin, alpha 1, skeletal muscle	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ADAM12	Mononuclear myocytes	MCMPMltna|MLTN	0.007	ADAM metallopeptidase domain 12	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ARHGAP26	Mononuclear myocytes	GRAF|KIAA0621|OPHN1L|OPHN1L1	0.011	Rho GTPase activating protein 26	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CAV3	Mononuclear myocytes	VIP-21|LGMD1C|VIP21|LQT9	0.001	caveolin 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CDH15	Mononuclear myocytes	CDH3	0.003	cadherin 15	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CMKLR1	Mononuclear myocytes	RVER1	0.003	chemerin chemokine-like receptor 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CXCR4	Mononuclear myocytes	LESTR|NPY3R|HM89|NPYY3R|D2S201E|fusin|HSY3RR|CD184	0.043	C-X-C motif chemokine receptor 4	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	DES	Mononuclear myocytes	CMD1I|CSM1|CSM2	0.019	desmin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	DLL1	Mononuclear myocytes	NA	0.003	delta like canonical Notch ligand 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	DOCK1	Mononuclear myocytes	DOCK180|ced5	0.01	dedicator of cytokinesis 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	DOCK5	Mononuclear myocytes	FLJ21034	0.007	dedicator of cytokinesis 5	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	FLNC	Mononuclear myocytes	ABPL|FLN2	0.01	filamin C	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm	IL4RA	Mononuclear myocytes	NA	0.01	interleukin 4 receptor, alpha	protein coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	IQSEC1	Mononuclear myocytes	KIAA0763|GEP100|BRAG2|ARF-GEP100	0.039	IQ motif and Sec7 domain 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ITGA3	Mononuclear myocytes	CD49c|VLA3a|VCA-2|GAP-B3|MSK18	0.01	integrin subunit alpha 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ITGA9	Mononuclear myocytes	RLC|ITGA4L|ALPHA-RLC	0.004	integrin subunit alpha 9	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MMP2	Mononuclear myocytes	TBE-1|CLG4|CLG4A	0.042	matrix metallopeptidase 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MMP9	Mononuclear myocytes	CLG4B	0.013	matrix metallopeptidase 9	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MRC1	Mononuclear myocytes	CLEC13D|CD206|bA541I19.1|CLEC13DL|MRC1L1	0.025	mannose receptor C-type 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYH14	Mononuclear myocytes	FLJ13881|KIAA2034|MHC16|MYH17|DFNA4	0.014	myosin heavy chain 14	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYH1	Mononuclear myocytes	MYHSA1|MYHa|MyHC-2X/D|MGC133384	0.0	myosin heavy chain 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	NOTCH3	Mononuclear myocytes	CASIL|CADASIL	0.02	notch 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	NPHS1	Mononuclear myocytes	CNF|NPHN	0.002	NPHS1, nephrin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm	OLFR599	Mononuclear myocytes	NA	0.0	olfactory receptor 599	protein coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	PLD1	Mononuclear myocytes	NA	0.002	phospholipase D1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	PRKCQ	Mononuclear myocytes	NA	0.007	protein kinase C theta	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	PTGIR	Mononuclear myocytes	NA	0.001	prostaglandin I2 receptor	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	PTK2	Mononuclear myocytes	FAK|FADK|FAK1|PPP1R71	0.033	protein tyrosine kinase 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	PXN	Mononuclear myocytes	NA	0.016	paxillin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	SULF1	Mononuclear myocytes	KIAA1077|SULF-1|hSulf-1	0.014	sulfatase 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TRIO	Mononuclear myocytes	ARHGEF23	0.023	trio Rho guanine nucleotide exchange factor	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	WASHC1	Mononuclear myocytes	FLJ00038|FAM39E|WASH1	0.009	WASH complex subunit 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	WIPF1	Mononuclear myocytes	WIP|WASPIP	0.015	WAS/WASL interacting protein family member 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ISL1	Motor neurons	Isl-1|ISLET1	0.033	ISL LIM homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	MNX1	Motor neurons	HB9|HOXHB9|SCRA1|HLXB9	0.0	motor neuron and pancreas homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ISL2	Motor neurons	FLJ10160	0.005	ISL LIM homeobox 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CHAT	Motor neurons	NA	0.002	choline O-acetyltransferase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	VSX2	Motor neurons	RET1|HOX10|CHX10	0.005	visual system homeobox 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	EN1	Motor neurons	NA	0.003	engrailed homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	EVX1	Motor neurons	NA	0.001	even-skipped homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	EVX2	Motor neurons	NA	0.0	even-skipped homeobox 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	FGF1	Motor neurons	AFGF|ECGF|ECGFA|ECGFB|HBGF1|ECGF-beta|FGF-alpha|GLIO703|FGFA	0.012	fibroblast growth factor 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	LHX3	Motor neurons	NA	0.001	LIM homeobox 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NKX6-1	Motor neurons	Nkx6.1|NKX6A	0.007	NK6 homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NGFR	Motor neurons	TNFRSF16|CD271|p75NTR	0.007	nerve growth factor receptor	protein-coding gene	NA	Ectoderm	Brain
Mm	REG2	Motor neurons	NA	0.0	regenerating islet-derived 2	protein coding gene	NA	Ectoderm	Brain
Mm Hs	SIM1	Motor neurons	bHLHe14	0.0	SIM bHLH transcription factor 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GAMT	Mller cells	PIG2|TP53I2	0.05	guanidinoacetate N-methyltransferase	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	TLR2	Mller cells	TIL4|CD282	0.011	toll like receptor 2	protein-coding gene	NA	Ectoderm	Eye
None	CD90	Mller cells	NA	0.0	NA	NA	NA	Ectoderm	Eye
Mm Hs	IL6	Mller cells	IL-6|BSF2|HSF|IFNB2	0.006	interleukin 6	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	CNR2	Mller cells	CB2	0.0	cannabinoid receptor 2	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	VEGFA	Mller cells	VEGF-A|VPF|VEGF	0.018	vascular endothelial growth factor A	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	SLC38A5	Mller cells	SN2|JM24	0.024	solute carrier family 38 member 5	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	RRH	Mller cells	peropsin	0.0	retinal pigment epithelium-derived rhodopsin homolog	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	NDNF	Mller cells	FLJ23191|C4orf31	0.02	neuron derived neurotrophic factor	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	SLC38A3	Mller cells	SN1	0.021	solute carrier family 38 member 3	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	RAX	Mller cells	RX	0.007	retina and anterior neural fold homeobox	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	MXRA7	Mller cells	FLJ46603|TMAP1|PS1TP1	0.036	matrix remodeling associated 7	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	IL33	Mller cells	DVS27|DKFZp586H0523|NF-HEV|IL1F11|C9orf26	0.015	interleukin 33	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	WIPI1	Mller cells	FLJ10055|WIPI49|ATG18|ATG18A	0.022	WD repeat domain, phosphoinositide interacting 1	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	COL23A1	Mller cells	DKFZp434K0621	0.005	collagen type XXIII alpha 1 chain	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	SLC6A11	Mller cells	GAT3	0.021	solute carrier family 6 member 11	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	HTRA1	Mller cells	HtrA|IGFBP5-protease|ARMD7|PRSS11	0.065	HtrA serine peptidase 1	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	RDH10	Mller cells	SDR16C4	0.01	retinol dehydrogenase 10	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	FAM169A	Mller cells	KIAA0888|SLAP75	0.011	family with sequence similarity 169 member A	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	FXYD1	Mller cells	PLM	0.064	FXYD domain containing ion transport regulator 1	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	ESPN	Mller cells	DFNB36	0.014	espin	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	SLITRK2	Mller cells	KIAA1854|SLITL1|TMEM257|CXorf1	0.004	SLIT and NTRK like family member 2	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	MSI1	Mller cells	NA	0.023	musashi RNA binding protein 1	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	SYNPR	Mller cells	MGC26651	0.024	synaptoporin	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	SLMAP	Mller cells	KIAA1601	0.037	sarcolemma associated protein	protein-coding gene	NA	Ectoderm	Eye
Mm	ABCA8A	Mller cells	NA	0.01	ATP-binding cassette, sub-family A (ABC1), member 8a	protein coding gene	NA	Ectoderm	Eye
Mm Hs	CROT	Mller cells	NA	0.008	carnitine O-octanoyltransferase	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	CRYM	Mller cells	DFNA40	0.019	crystallin mu	protein-coding gene	NA	Ectoderm	Eye
Mm	CAR14	Mller cells	NA	0.002	carbonic anhydrase 14	protein coding gene	NA	Ectoderm	Eye
Mm Hs	SPON1	Mller cells	KIAA0762|f-spondin	0.023	spondin 1	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	COL9A1	Mller cells	NA	0.006	collagen type IX alpha 1 chain	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	SIX3OS1	Mller cells	NA	0.006	SIX homeobox 3, opposite strand 1	unclassified non-coding RNA ge	NA	Ectoderm	Eye
Mm Hs	DAPL1	Mller cells	NA	0.01	death associated protein like 1	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	AQP4	Mller cells	MIWC	0.027	aquaporin 4	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	CP	Mller cells	NA	0.025	ceruloplasmin	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	SPC25	Mller cells	MGC22228|AD024|SPBC25	0.061	SPC25, NDC80 kinetochore complex component	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	RLBP1	Mller cells	CRALBP	0.035	retinaldehyde binding protein 1	protein-coding gene	NA	Ectoderm	Eye
Mm Hs	DKK3	Mller cells	REIC	0.04	dickkopf WNT signaling pathway inhibitor 3	protein-coding gene	1	Ectoderm	Eye
Mm Hs	ACTA1	Multinuclear myocytes	NEM3|ACTA	0.003	actin, alpha 1, skeletal muscle	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TNNI1	Multinuclear myocytes	NA	0.005	troponin I1, slow skeletal type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TNNI2	Multinuclear myocytes	NA	0.003	troponin I2, fast skeletal type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TNNT1	Multinuclear myocytes	ANM|STNT|TNTS|FLJ98147|MGC104241|NEM5	0.014	troponin T1, slow skeletal type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TNNT3	Multinuclear myocytes	DKFZp779M2348	0.0	troponin T3, fast skeletal type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TNNC1	Multinuclear myocytes	TNNC	0.005	troponin C1, slow skeletal and cardiac type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TNNC2	Multinuclear myocytes	NA	0.0	troponin C2, fast skeletal type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ACTN2	Multinuclear myocytes	NA	0.004	actinin alpha 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ACTN3	Multinuclear myocytes	NA	0.0	actinin alpha 3 (gene/pseudogene)	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ANKRD1	Multinuclear myocytes	C-193|ALRP|CVARP|MCARP	0.006	ankyrin repeat domain 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ANKRD2	Multinuclear myocytes	ARPP	0.0	ankyrin repeat domain 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CAPZA3	Multinuclear myocytes	Gsg3|CAPPA3	0.009	capping actin protein of muscle Z-line subunit alpha 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CLOCK	Multinuclear myocytes	KIAA0334|KAT13D|bHLHe8	0.018	clock circadian regulator	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	DES	Multinuclear myocytes	CMD1I|CSM1|CSM2	0.019	desmin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	DMD	Multinuclear myocytes	DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85	0.012	dystrophin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	IL4	Multinuclear myocytes	BSF1|IL-4|BCGF1|BCGF-1|MGC79402	0.002	interleukin 4	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ITGA7	Multinuclear myocytes	NA	0.002	integrin subunit alpha 7	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	LAMA2	Multinuclear myocytes	LAMM	0.008	laminin subunit alpha 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	LAMB1	Multinuclear myocytes	NA	0.056	laminin subunit beta 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	LDB1	Multinuclear myocytes	NLI|CLIM2	0.014	LIM domain binding 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	LDB3	Multinuclear myocytes	PDLIM6|KIAA0613|ZASP|CMD1C	0.003	LIM domain binding 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MSTN	Multinuclear myocytes	GDF8	0.003	myostatin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYH1	Multinuclear myocytes	MYHSA1|MYHa|MyHC-2X/D|MGC133384	0.0	myosin heavy chain 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYH4	Multinuclear myocytes	MYH2B|MyHC-2B|MyHC-IIb	0.0	myosin heavy chain 4	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYH7	Multinuclear myocytes	CMD1S|CMH1|MPD1	0.001	myosin heavy chain 7	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYH8	Multinuclear myocytes	MyHC-peri|MyHC-pn	0.0	myosin heavy chain 8	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	NBR1	Multinuclear myocytes	KIAA0049|1A1-3B|M17S2	0.026	NBR1, autophagy cargo receptor	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	NEB	Multinuclear myocytes	NEB177D|NEM2	0.004	nebulin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	NID1	Multinuclear myocytes	entactin|NID	0.059	nidogen 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	NID2	Multinuclear myocytes	NA	0.0	nidogen 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TMOD4	Multinuclear myocytes	Sk-Tmod	0.0	tropomodulin 4	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TPM2	Multinuclear myocytes	NEM4|AMCD1	0.069	tropomyosin 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TTN	Multinuclear myocytes	CMPD4|FLJ32040|TMD|CMH9|LGMD2J|MYLK5|CMD1G	0.007	titin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYLPF	Multinuclear myocytes	HUMMLC2B|MYL11	0.004	myosin light chain, phosphorylatable, fast skeletal muscle	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYL1	Multinuclear myocytes	NA	0.002	myosin light chain 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CKM	Multinuclear myocytes	CKMM	0.003	creatine kinase, M-type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TCAP	Multinuclear myocytes	T-cap|TELE|telethonin|CMD1N|LGMD2G	0.003	titin-cap	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MYOZ1	Multinuclear myocytes	FATZ|MYOZ	0.0	myozenin 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	PYGM	Multinuclear myocytes	NA	0.002	glycogen phosphorylase, muscle associated	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ENO3	Multinuclear myocytes	NA	0.007	enolase 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CKM	Muscle cells	CKMM	0.003	creatine kinase, M-type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	DES	Muscle cells	CMD1I|CSM1|CSM2	0.019	desmin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ACTC1	Muscle cells	CMD1R|ACTC	0.01	actin, alpha, cardiac muscle 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	FHL2	Muscle cells	SLIM3|DRAL	0.038	four and a half LIM domains 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	NPPA	Muscle cells	ANP|PND	0.0	natriuretic peptide A	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	NPPB	Muscle cells	NA	0.002	natriuretic peptide B	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CAV3	Muscle cells	VIP-21|LGMD1C|VIP21|LQT9	0.001	caveolin 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	DMD	Muscle cells	DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85	0.012	dystrophin	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	EDN1	Muscle cells	ET1	0.007	endothelin 1	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	GATA4	Muscle cells	NA	0.004	GATA binding protein 4	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	GATA5	Muscle cells	bB379O24.1|GATAS	0.001	GATA binding protein 5	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MEF2A	Muscle cells	RSRFC4|RSRFC9	0.062	myocyte enhancer factor 2A	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MEF2B	Muscle cells	RSRFR2	0.002	myocyte enhancer factor 2B	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	MEF2D	Muscle cells	NA	0.002	myocyte enhancer factor 2D	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	POPDC2	Muscle cells	NA	0.002	popeye domain containing 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TPM2	Muscle cells	NEM4|AMCD1	0.069	tropomyosin 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TNNT1	Muscle cells	ANM|STNT|TNTS|FLJ98147|MGC104241|NEM5	0.014	troponin T1, slow skeletal type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	TNNT3	Muscle cells	DKFZp779M2348	0.0	troponin T3, fast skeletal type	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	CHODL	Muscle cells	FLJ12627|PRED12|MT75|C21orf68	0.003	chondrolectin	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	ITGAM	Myeloid-derived suppressor cells	CD11b|CR3A|CD11B	0.022	integrin subunit alpha M	protein-coding gene	NA	mesoderm	Immune system
Mm Hs	FUT4	Myeloid-derived suppressor cells	FUC-TIV|CD15|ELFT	0.0	fucosyltransferase 4	protein-coding gene	NA	mesoderm	Immune system
Mm Hs	CD33	Myeloid-derived suppressor cells	SIGLEC3|SIGLEC-3|FLJ00391	0.01	CD33 molecule	protein-coding gene	NA	mesoderm	Immune system
Hs	CEACAM8	Myeloid-derived suppressor cells	CD66b|CGM6	0.0	carcinoembryonic antigen related cell adhesion molecule 8	protein-coding gene	NA	mesoderm	Immune system
Hs	IL4R	Myeloid-derived suppressor cells	CD124	0.003	interleukin 4 receptor	protein-coding gene	NA	mesoderm	Immune system
Mm Hs	CCR2	Myeloid-derived suppressor cells	CC-CKR-2|CKR2|MCP-1-R|CD192|FLJ78302|CMKBR2	0.015	C-C motif chemokine receptor 2	protein-coding gene	NA	mesoderm	Immune system
Hs	CD1D	Myeloid-derived suppressor cells	NA	0.0	CD1d molecule	protein-coding gene	NA	mesoderm	Immune system
Hs	FCGR3A	Myeloid-derived suppressor cells	CD16a	0.007	Fc fragment of IgG receptor IIIa	protein-coding gene	NA	mesoderm	Immune system
Mm Hs	ICAM1	Myeloid-derived suppressor cells	CD54	0.008	intercellular adhesion molecule 1	protein-coding gene	NA	mesoderm	Immune system
Mm Hs	CD80	Myeloid-derived suppressor cells	B7.1|B7-1|CD28LG|CD28LG1	0.0	CD80 molecule	protein-coding gene	NA	mesoderm	Immune system
Mm Hs	CXCR1	Myeloid-derived suppressor cells	CDw128a|CD181|CMKAR1|IL8RA	0.0	C-X-C motif chemokine receptor 1	protein-coding gene	NA	mesoderm	Immune system
Mm Hs	ADGRE1	Myeloid-derived suppressor cells	TM7LN3|EMR1	0.029	adhesion G protein-coupled receptor E1	protein-coding gene	NA	mesoderm	Immune system
None	GR1	Myeloid-derived suppressor cells	NA	0.0	NA	NA	NA	mesoderm	Immune system
Mm	LY6G	Myeloid-derived suppressor cells	NA	0.007	lymphocyte antigen 6 complex, locus G	protein coding gene	NA	mesoderm	Immune system
Mm Hs	S100A9	Myeloid-derived suppressor cells	MIF|NIF|LIAG|MRP14|MAC387|CGLB|CAGB	0.047	S100 calcium binding protein A9	protein-coding gene	1	mesoderm	Immune system
Mm Hs	S100A4	Myeloid-derived suppressor cells	P9KA|18A2|PEL98|42A|CAPL	0.085	S100 calcium binding protein A4	protein-coding gene	1	mesoderm	Immune system
Mm Hs	S100A8	Myeloid-derived suppressor cells	P8|CGLA|CAGA	0.048	S100 calcium binding protein A8	protein-coding gene	NA	mesoderm	Immune system
Mm Hs	MYOG	Myoblasts	bHLHc3|MYF4	0.001	myogenin	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	LIF	Myoblasts	CDF|HILDA	0.001	LIF, interleukin 6 family cytokine	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	NGF	Myoblasts	NGFB	0.003	nerve growth factor	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	IGF2	Myoblasts	FLJ44734|IGF-II|C11orf43	0.01	insulin like growth factor 2	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	ANGPT2	Myoblasts	Ang2	0.004	angiopoietin 2	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	ACHE	Myoblasts	YT	0.02	acetylcholinesterase (Cartwright blood group)	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	ADAM12	Myoblasts	MCMPMltna|MLTN	0.007	ADAM metallopeptidase domain 12	protein-coding gene	1	Mesoderm	Skeletal muscle
Mm Hs	TPM2	Myoblasts	NEM4|AMCD1	0.069	tropomyosin 2	protein-coding gene	NA	Mesoderm	Skeletal muscle
Mm Hs	ENO3	Myoblasts	NA	0.007	enolase 3	protein-coding gene	NA	Mesoderm	Skeletal muscle
